survived;pclass;sex;age;sibsp;parch;fare;embarked;class;who;adult_male;deck;embark_town;alive;alone
0;3;female;11,0;4;2;31,275;S;Third;child;False;;Southampton;no;False
1;2;female;34,0;1;1;32,5;S;Second;woman;False;;Southampton;yes;False
1;1;female;48,0;1;0;39,6;C;First;woman;False;A;Cherbourg;yes;False
1;2;male;;0;0;13,8625;C;Second;man;True;;Cherbourg;yes;True
0;3;male;38,0;0;0;7,8958;S;Third;man;True;;Southampton;no;True
0;2;male;23,0;2;1;11,5;S;Second;man;True;;Southampton;no;False
1;1;female;18,0;1;0;227,525;C;First;woman;False;C;Cherbourg;yes;False
0;2;male;25,0;1;0;26,0;S;Second;man;True;;Southampton;no;False
1;1;female;54,0;1;0;78,2667;C;First;woman;False;D;Cherbourg;yes;False
1;3;male;20,0;1;0;7,925;S;Third;man;True;;Southampton;yes;False
1;2;female;28,0;1;0;24,0;C;Second;woman;False;;Cherbourg;yes;False
1;1;female;38,0;1;0;71,2833;C;First;woman;False;C;Cherbourg;yes;False
1;3;male;20,0;1;1;15,7417;C;Third;man;True;;Cherbourg;yes;False
0;1;female;2,0;1;2;151,55;S;First;child;False;C;Southampton;no;False
1;2;female;27,0;0;0;10,5;S;Second;woman;False;E;Southampton;yes;True
1;3;male;19,0;0;0;8,05;S;Third;man;True;;Southampton;yes;True
0;3;male;19,0;0;0;7,65;S;Third;man;True;F;Southampton;no;True
1;1;male;56,0;0;0;35,5;C;First;man;True;A;Cherbourg;yes;True
0;3;male;18,0;1;1;20,2125;S;Third;man;True;;Southampton;no;False
0;3;male;42,0;0;1;8,4042;S;Third;man;True;;Southampton;no;False
0;1;male;30,0;0;0;27,75;C;First;man;True;C;Cherbourg;no;True
0;3;male;;8;2;69,55;S;Third;man;True;;Southampton;no;False
0;3;male;35,0;0;0;8,05;S;Third;man;True;;Southampton;no;True
0;3;female;20,0;0;0;8,6625;S;Third;woman;False;;Southampton;no;True
0;3;male;26,0;1;0;14,4542;C;Third;man;True;;Cherbourg;no;False
0;3;male;;0;0;8,05;S;Third;man;True;;Southampton;no;True
0;3;male;;0;0;7,7375;Q;Third;man;True;;Queenstown;no;True
1;2;male;3,0;1;1;18,75;S;Second;child;False;;Southampton;yes;False
0;2;female;26,0;1;1;26,0;S;Second;woman;False;;Southampton;no;False
1;2;female;17,0;0;0;10,5;S;Second;woman;False;;Southampton;yes;True
1;3;male;3,0;1;1;15,9;S;Third;child;False;;Southampton;yes;False
1;3;female;5,0;2;1;19,2583;C;Third;child;False;;Cherbourg;yes;False
1;1;female;19,0;0;2;26,2833;S;First;woman;False;D;Southampton;yes;False
0;3;male;33,0;1;1;20,525;S;Third;man;True;;Southampton;no;False
0;1;male;22,0;0;0;135,6333;C;First;man;True;;Cherbourg;no;True
0;3;male;;1;2;23,45;S;Third;man;True;;Southampton;no;False
0;2;male;30,0;0;0;13,0;S;Second;man;True;;Southampton;no;True
1;2;male;0,83;1;1;18,75;S;Second;child;False;;Southampton;yes;False
1;2;male;;0;0;13,0;S;Second;man;True;;Southampton;yes;True
0;3;female;17,0;0;0;14,4583;C;Third;woman;False;;Cherbourg;no;True
1;3;female;;1;0;24,15;Q;Third;woman;False;;Queenstown;yes;False
0;3;male;35,0;0;0;7,05;S;Third;man;True;;Southampton;no;True
0;3;male;23,0;0;0;7,8958;S;Third;man;True;;Southampton;no;True
1;2;female;23,0;0;0;13,7917;C;Second;woman;False;D;Cherbourg;yes;True
0;3;male;45,5;0;0;7,225;C;Third;man;True;;Cherbourg;no;True
0;3;male;4,0;4;1;29,125;Q;Third;child;False;;Queenstown;no;False
0;3;male;32,0;1;0;15,85;S;Third;man;True;;Southampton;no;False
0;3;male;35,0;0;0;7,125;S;Third;man;True;;Southampton;no;True
0;3;male;21,0;0;0;8,4333;S;Third;man;True;;Southampton;no;True
0;2;male;26,0;0;0;10,5;S;Second;man;True;;Southampton;no;True
0;2;male;46,0;0;0;26,0;S;Second;man;True;;Southampton;no;True
1;3;female;5,0;4;2;31,3875;S;Third;child;False;;Southampton;yes;False
1;1;female;17,0;1;0;108,9;C;First;woman;False;C;Cherbourg;yes;False
1;3;female;38,0;1;5;31,3875;S;Third;woman;False;;Southampton;yes;False
1;2;female;18,0;0;2;13,0;S;Second;woman;False;;Southampton;yes;False
1;2;male;1,0;2;1;39,0;S;Second;child;False;F;Southampton;yes;False
1;1;male;35,0;0;0;512,3292;C;First;man;True;B;Cherbourg;yes;True
0;3;female;45,0;0;0;7,75;S;Third;woman;False;;Southampton;no;True
0;3;female;31,0;0;0;7,8542;S;Third;woman;False;;Southampton;no;True
0;3;male;24,0;0;0;8,05;S;Third;man;True;;Southampton;no;True
0;1;male;64,0;1;4;263,0;S;First;man;True;C;Southampton;no;False
0;3;male;31,0;0;0;7,775;S;Third;man;True;;Southampton;no;True
0;3;male;36,0;0;0;7,8958;S;Third;man;True;;Southampton;no;True
0;3;male;22,0;0;0;9,0;S;Third;man;True;;Southampton;no;True
1;3;male;24,0;0;0;7,1417;S;Third;man;True;;Southampton;yes;True
1;2;female;30,0;0;0;13,0;S;Second;woman;False;;Southampton;yes;True
0;3;female;39,0;0;5;29,125;Q;Third;woman;False;;Queenstown;no;False
0;2;male;50,0;0;0;13,0;S;Second;man;True;;Southampton;no;True
1;1;male;25,0;1;0;91,0792;C;First;man;True;B;Cherbourg;yes;False
1;1;female;16,0;0;1;39,4;S;First;woman;False;D;Southampton;yes;False
0;3;male;;0;0;8,05;S;Third;man;True;;Southampton;no;True
0;3;male;;0;0;7,725;Q;Third;man;True;;Queenstown;no;True
0;3;male;22,0;0;0;7,7958;S;Third;man;True;;Southampton;no;True
0;2;male;;0;0;0,0;S;Second;man;True;;Southampton;no;True
1;1;male;;0;0;30,5;S;First;man;True;C;Southampton;yes;True
1;1;male;28,0;0;0;26,55;S;First;man;True;C;Southampton;yes;True
0;3;male;11,0;0;0;18,7875;C;Third;child;False;;Cherbourg;no;True
0;3;female;;3;1;25,4667;S;Third;woman;False;;Southampton;no;False
1;2;female;6,0;0;1;33,0;S;Second;child;False;;Southampton;yes;False
1;2;male;3,0;1;1;26,0;S;Second;child;False;F;Southampton;yes;False
1;3;female;35,0;1;1;20,25;S;Third;woman;False;;Southampton;yes;False
0;3;male;18,0;1;0;6,4958;S;Third;man;True;;Southampton;no;False
0;3;male;20,0;0;0;9,5;S;Third;man;True;;Southampton;no;True
1;1;female;60,0;1;0;75,25;C;First;woman;False;D;Cherbourg;yes;False
0;2;male;31,0;0;0;10,5;S;Second;man;True;;Southampton;no;True
0;1;male;28,0;0;0;47,1;S;First;man;True;;Southampton;no;True
1;1;female;26,0;0;0;78,85;S;First;woman;False;;Southampton;yes;True
0;1;male;37,0;1;0;53,1;S;First;man;True;C;Southampton;no;False
1;2;female;22,0;1;2;41,5792;C;Second;woman;False;;Cherbourg;yes;False
0;3;male;21,0;0;0;7,7333;Q;Third;man;True;;Queenstown;no;True
0;3;female;;0;2;7,75;Q;Third;woman;False;;Queenstown;no;False
1;1;female;58,0;0;0;26,55;S;First;woman;False;C;Southampton;yes;True
1;3;female;27,0;0;1;12,475;S;Third;woman;False;E;Southampton;yes;False
0;3;female;48,0;1;3;34,375;S;Third;woman;False;;Southampton;no;False
0;3;female;45,0;1;4;27,9;S;Third;woman;False;;Southampton;no;False
0;3;male;9,0;5;2;46,9;S;Third;child;False;;Southampton;no;False
0;3;male;;0;0;8,05;S;Third;man;True;;Southampton;no;True
0;3;male;15,0;1;1;7,2292;C;Third;child;False;;Cherbourg;no;False
0;3;male;32,0;0;0;7,8958;S;Third;man;True;;Southampton;no;True
0;2;male;;0;0;0,0;S;Second;man;True;;Southampton;no;True
1;3;male;9,0;1;1;15,9;S;Third;child;False;;Southampton;yes;False
0;3;male;25,0;0;0;7,8958;S;Third;man;True;;Southampton;no;True
1;3;male;29,0;0;0;9,5;S;Third;man;True;;Southampton;yes;True
1;3;female;;0;0;7,75;Q;Third;woman;False;;Queenstown;yes;True
0;3;male;28,0;0;0;9,5;S;Third;man;True;;Southampton;no;True
1;3;male;25,0;1;0;7,775;S;Third;man;True;;Southampton;yes;False
0;3;male;35,0;0;0;7,8958;C;Third;man;True;;Cherbourg;no;True
0;3;male;38,0;0;0;7,05;S;Third;man;True;;Southampton;no;True
1;1;female;19,0;0;0;30,0;S;First;woman;False;B;Southampton;yes;True
0;3;male;;1;0;7,75;Q;Third;man;True;;Queenstown;no;False
0;3;male;;0;0;7,2292;C;Third;man;True;;Cherbourg;no;True
0;2;male;16,0;0;0;26,0;S;Second;man;True;;Southampton;no;True
1;3;female;1,0;1;1;11,1333;S;Third;child;False;;Southampton;yes;False
0;3;male;19,0;0;0;7,8958;S;Third;man;True;;Southampton;no;True
0;3;male;8,0;4;1;29,125;Q;Third;child;False;;Queenstown;no;False
1;1;female;22,0;0;0;151,55;S;First;woman;False;;Southampton;yes;True
0;3;male;36,0;1;1;24,15;S;Third;man;True;;Southampton;no;False
1;3;female;24,0;0;3;19,2583;C;Third;woman;False;;Cherbourg;yes;False
0;3;male;26,0;0;0;8,05;S;Third;man;True;;Southampton;no;True
1;1;male;42,0;1;0;52,5542;S;First;man;True;D;Southampton;yes;False
1;3;female;24,0;1;0;15,85;S;Third;woman;False;;Southampton;yes;False
0;3;female;30,5;0;0;7,75;Q;Third;woman;False;;Queenstown;no;True
1;3;female;15,0;1;0;14,4542;C;Third;child;False;;Cherbourg;yes;False
1;2;female;41,0;0;1;19,5;S;Second;woman;False;;Southampton;yes;False
1;2;female;32,5;0;0;13,0;S;Second;woman;False;E;Southampton;yes;True
0;3;male;41,0;2;0;14,1083;S;Third;man;True;;Southampton;no;False
0;1;male;31,0;0;0;50,4958;S;First;man;True;A;Southampton;no;True
0;2;male;34,0;1;0;21,0;S;Second;man;True;;Southampton;no;False
0;3;male;24,0;0;0;9,5;S;Third;man;True;;Southampton;no;True
0;3;male;17,0;0;0;8,6625;S;Third;man;True;;Southampton;no;True
0;3;male;26,0;1;2;20,575;S;Third;man;True;;Southampton;no;False
0;1;male;;0;0;26,0;S;First;man;True;A;Southampton;no;True
0;1;male;;0;0;42,4;S;First;man;True;;Southampton;no;True
0;3;male;25,0;1;0;17,8;S;Third;man;True;;Southampton;no;False
0;3;male;20,0;0;0;7,05;S;Third;man;True;;Southampton;no;True
1;2;female;40,0;0;0;15,75;S;Second;woman;False;;Southampton;yes;True
0;3;male;44,0;0;1;16,1;S;Third;man;True;;Southampton;no;False
0;2;male;34,0;1;0;26,0;S;Second;man;True;;Southampton;no;False
1;2;female;35,0;0;0;21,0;S;Second;woman;False;;Southampton;yes;True
0;3;male;31,0;0;0;7,75;Q;Third;man;True;;Queenstown;no;True
1;3;female;33,0;3;0;15,85;S;Third;woman;False;;Southampton;yes;False
0;3;female;45,0;0;1;14,4542;C;Third;woman;False;;Cherbourg;no;False
1;1;male;35,0;0;0;26,2875;S;First;man;True;E;Southampton;yes;True
1;3;male;1,0;1;2;20,575;S;Third;child;False;;Southampton;yes;False
0;3;male;39,0;1;5;31,275;S;Third;man;True;;Southampton;no;False
0;1;male;;0;0;0,0;S;First;man;True;;Southampton;no;True
1;1;female;45,0;1;1;164,8667;S;First;woman;False;;Southampton;yes;False
0;1;male;47,0;0;0;25,5875;S;First;man;True;E;Southampton;no;True
1;2;female;28,0;1;0;26,0;S;Second;woman;False;;Southampton;yes;False
0;1;male;36,0;1;0;78,85;S;First;man;True;C;Southampton;no;False
0;2;male;23,0;0;0;13,0;S;Second;man;True;;Southampton;no;True
0;3;female;29,0;1;1;10,4625;S;Third;woman;False;G;Southampton;no;False
0;3;male;33,0;0;0;7,8958;S;Third;man;True;;Southampton;no;True
0;2;male;36,0;0;0;12,875;C;Second;man;True;D;Cherbourg;no;True
1;1;male;51,0;0;0;26,55;S;First;man;True;E;Southampton;yes;True
0;2;male;35,0;0;0;10,5;S;Second;man;True;;Southampton;no;True
0;1;male;50,0;1;0;55,9;S;First;man;True;E;Southampton;no;False
0;3;female;9,0;4;2;31,275;S;Third;child;False;;Southampton;no;False
0;3;male;28,0;0;0;7,7958;S;Third;man;True;;Southampton;no;True
0;1;male;49,0;1;1;110,8833;C;First;man;True;C;Cherbourg;no;False
0;3;male;;1;0;15,5;Q;Third;man;True;;Queenstown;no;False
0;3;female;28,0;0;0;7,8958;S;Third;woman;False;;Southampton;no;True
1;1;female;48,0;0;0;25,9292;S;First;woman;False;D;Southampton;yes;True
0;2;male;48,0;0;0;13,0;S;Second;man;True;;Southampton;no;True
0;3;male;7,0;4;1;39,6875;S;Third;child;False;;Southampton;no;False
0;3;male;17,0;0;0;8,6625;S;Third;man;True;;Southampton;no;True
0;1;male;58,0;0;0;29,7;C;First;man;True;B;Cherbourg;no;True
0;1;male;28,0;1;0;82,1708;C;First;man;True;;Cherbourg;no;False
1;2;female;33,0;0;2;26,0;S;Second;woman;False;;Southampton;yes;False
0;1;male;;0;0;31,0;S;First;man;True;;Southampton;no;True
0;3;male;45,0;0;0;6,975;S;Third;man;True;;Southampton;no;True
0;2;male;42,0;1;0;27,0;S;Second;man;True;;Southampton;no;False
1;2;male;0,67;1;1;14,5;S;Second;child;False;;Southampton;yes;False
1;3;female;31,0;1;1;20,525;S;Third;woman;False;;Southampton;yes;False
1;1;male;42,0;0;0;26,2875;S;First;man;True;E;Southampton;yes;True
0;3;female;;8;2;69,55;S;Third;woman;False;;Southampton;no;False
1;3;male;12,0;1;0;11,2417;C;Third;child;False;;Cherbourg;yes;False
0;2;male;52,0;0;0;13,5;S;Second;man;True;;Southampton;no;True
0;3;male;33,0;0;0;7,8958;C;Third;man;True;;Cherbourg;no;True
0;2;male;25,0;0;0;13,0;S;Second;man;True;;Southampton;no;True
1;1;female;58,0;0;1;153,4625;S;First;woman;False;C;Southampton;yes;False
0;3;male;40,5;0;0;7,75;Q;Third;man;True;;Queenstown;no;True
0;3;male;17,0;1;1;7,2292;C;Third;man;True;;Cherbourg;no;False
1;2;female;24,0;2;3;18,75;S;Second;woman;False;;Southampton;yes;False
0;3;male;26,0;1;0;7,8542;S;Third;man;True;;Southampton;no;False
0;3;male;18,0;0;0;7,75;S;Third;man;True;;Southampton;no;True
0;1;male;70,0;1;1;71,0;S;First;man;True;B;Southampton;no;False
0;3;female;16,0;5;2;46,9;S;Third;woman;False;;Southampton;no;False
1;3;female;;0;2;22,3583;C;Third;woman;False;;Cherbourg;yes;False
0;3;male;;0;0;7,8958;S;Third;man;True;;Southampton;no;True
0;2;male;51,0;0;0;12,525;S;Second;man;True;;Southampton;no;True
0;3;male;24,0;0;0;7,7958;S;Third;man;True;;Southampton;no;True
0;3;male;20,5;0;0;7,25;S;Third;man;True;;Southampton;no;True
1;1;male;48,0;0;0;26,55;S;First;man;True;E;Southampton;yes;True
1;2;female;7,0;0;2;26,25;S;Second;child;False;;Southampton;yes;False
1;3;female;21,0;0;0;7,65;S;Third;woman;False;;Southampton;yes;True
1;1;male;36,0;0;0;26,3875;S;First;man;True;E;Southampton;yes;True
0;3;male;21,0;0;0;7,8542;S;Third;man;True;;Southampton;no;True
1;2;female;29,0;1;0;26,0;S;Second;woman;False;;Southampton;yes;False
0;3;male;24,0;2;0;24,15;S;Third;man;True;;Southampton;no;False
